"职位名称","公司名称","月薪","地区"
"NODE全栈开发工程师","深圳市汉富商贸有限公司","15000-30000","深圳"
"node.js全栈工程师","深圳爱加密科技有限公司","15000-30000","深圳"
"nodejs工程师","易普电子商务(深圳)有限公司","10001-15000","深圳"
"Node.js工程师","深圳迈科创新科技有限公司","10000-20000","深圳-福田区"
"高级Node.JS开发工程师","丹尼尔惠灵顿贸易(深圳)有限公司","15000-25000","深圳"
"Node.js服务器开发工程师","深圳习习网络科技有限公司","15000-25000","深圳-南山区"
"高级Web前端开发 ","深圳市巧巧科技有限公司","12000-20000","深圳"
"开发部招聘 Node.js全栈开发工程师","深圳市雷摩电子有限公司","10000-20000","深圳-宝安区"
"前端开发工程师","深圳市国人在线信息技术有限公司","8000-15000","深圳"
"Node.JS后台开发工程师","深圳百果园实业发展有限公司","15000-25000","深圳-南山区"
"H5前端开发","深圳特为科创信息技术有限公司","10000-18000","深圳-福田区"
"Node.js程序员","深圳市环球易购电子商务有限公司","10000-20000","深圳-南山区"
"Nodejs工程师—QKLJF","深圳瀚德金融控股有限公司","12000-22000","深圳-南山区"
"Node.js开发工程师","深圳市源极光科技有限公司","15001-20000","深圳-南山区"
".net开发实习生","广州美星汇网络科技有限公司","6001-8000","深圳"
"Web前端开发","深圳市闻迅数码科技有限公司","10000-20000","深圳-南山区"
"web开发工程师","深圳骑牛时代科技有限公司","8001-10000","深圳"
"WEB前端开发工程师","东方微银网络信息(北京)有限公司深圳分公司","10001-15000","深圳-福田区"
"高级前端开发工程师","新译信息科技(北京)有限公司","18000-25000","深圳"
"node.js工程师","深圳市星诚软件开发有限公司","6001-8000","深圳"
"高级Web前端开发 +绩效奖金","深圳市巧巧科技有限公司","8000-12000","深圳-龙华新区"
"前端开发工程师","深圳市运发集团股份有限公司","9000-13000","深圳"
"Web前端开发工程师","深圳市君仁科技发展有限公司","7000-10000","深圳-南山区"
"HTML5工程师","深圳兴融联科技股份有限公司","11000-19000","深圳"
"棋牌游戏服务端主程","深圳百思为科技有限公司","15000-25000","深圳"
"python开发工程师","深圳睿云智合科技有限公司","15000-30000","深圳-南山区"
"高级Web前端工程师","深圳前海数维时代科技有限公司","10000-20000","深圳"
"前端开发工程师","深圳市凯盛资产管理有限公司","8000-15000","深圳-宝安区"
"Node.js软件工程师/服务器软件工程师","深圳市欣博跃电子有限公司","7500-15000","深圳"
"前端开发工程师（React）","深圳市城市交通规划设计研究中心有限公司","20000-25000","深圳"
"Node.Js开发工程师","北京独创时代科技有限公司","15001-20000","深圳"
"Node.js高级开发","深圳市前海美联科技有限公司","8001-10000","深圳"
"Web前端开发工程师(J10657)","厦门立达信绿色照明集团有限公司","15001-20000","深圳"
"web前端高级工程师","深圳市前海网讯网络科技有限公司","15001-20000","深圳"
"Node.js","深圳德聚企业管理咨询有限公司","20001-30000","深圳-南山区"
"WEB前端程序员/HTML5工程师/首席技术官","深圳前海第一网络科技有限公司","8000-12000","深圳"
"资深/高级区块链工程师","深圳前海无限科技有限公司","35000-70000","深圳"
"前端开发工程师","深圳千岁鹤物联网有限公司","8001-10000","深圳"
"NodeJS 架构师","Crossover for Work","30000-40000","深圳"
"前端工程师","旭達资讯科技有限公司","8001-10000","深圳"
"前端开发工程师","深圳市信德良行贸易有限公司","15001-20000","深圳"
"java开发工程师","深圳市万合文化传播有限公司","5000-8000","深圳"
"golang/C++/C开发工程师","深圳锚链科技有限公司","10000-15000","深圳"
"web前端开发工程师","深圳市一道网络有限公司","15001-20000","深圳"
"前端架构师","拓维信息系统股份有限公司","15000-30000","深圳"
"中级前端开发工程师","拓维信息系统股份有限公司","10000-20000","深圳"
"前端开发工程师","中腾信金融信息服务(上海)有限公司","8000-12000","深圳"
"NodeJS开发工程师","深圳市卡联科技股份有限公司","15000-30000","深圳-龙岗区"
"软件工程师","深圳市万合文化传播有限公司","4500-7500","深圳"
"node.js","深圳德聚企业管理咨询有限公司","20001-30000","深圳"
"微信小程序开发工程师","深圳新趋势文化传媒有限公司","10000-15000","深圳"
"前端工程师","深圳市中博科创信息技术有限公司","10001-15000","深圳"
"高级前端架构师（互联网）","深圳市珍爱网信息技术有限公司","面议","深圳-南山区"
"前端开发工程师","顺丰科技有限公司","面议","深圳"
